Isotope	<th>	conc	<th>	Coh_b	<th>	Inc_b	<th>	Coh_xs	<th>	Inc_xs	<th>	Scatt_xs	<th>	Abs_xs	<th> Mass<th>Radius
	83Kr	<td>	11.5	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	185.(30.)	<td> 82.914135<td> 1.15
	84Kr	<td>	57	<td>	---	<td>	0	<td>	---	<td>	0	<td>	6.6	<td>	0.113	<td> 83.911507<td> 1.15
	86Kr	<td>	17.3	<td>	8.1	<td>	0	<td>	8.2	<td>	0	<td>	8.2	<td>	0.003	<td> 85.910616<td> 1.15
	Rb	<td>	---	<td>	7.09	<td>	---	<td>	6.32	<td>	0.5	<td>	6.8	<td>	0.38	<td> 85.4678<td> 2.35
	85Rb	<td>	72.17	<td>	7.03	<td>	---	<td>	6.2	<td>	0.5	<td>	6.7	<td>	0.48	<td> 84.911794<td> 2.35
	87Rb	<td>	27.83	<td>	7.23	<td>	---	<td>	6.6	<td>	0.5	<td>	7.1	<td>	0.12	<td> 86.909187<td> 2.35
	Sr	<td>	---	<td>	7.02	<td>	---	<td>	6.19	<td>	0.06	<td>	6.25	<td>	1.28	<td> 87.62<td> 2.
	84Sr	<td>	0.56	<td>	7.(1.) 	<td>	0	<td>	6.(2.)	<td>	0	<td>	6.(2.)	<td>	0.87	<td> 83.913430<td> 2.
	86Sr	<td>	9.86	<td>	5.67	<td>	0	<td>	4.04	<td>	0	<td>	4.04	<td>	1.04	<td> 85.9092672<td> 2.
	87Sr	<td>	7	<td>	7.40	<td>	---	<td>	6.88	<td>	0.5	<td>	7.4	<td>	16.(3.)	<td> 86.9088841 <td> 2.
	88Sr	<td>	82.58	<td>	7.15	<td>	0	<td>	6.42	<td>	0	<td>	6.42	<td>	0.058	<td> 87.9056188<td> 2.
	Y	<td>	100	<td>	7.75	<td>	1.1	<td>	7.55	<td>	0.15    <td>	7.7	<td>	1.28	<td> 89.905849<td> 1.8
	Zr	<td>	---	<td>	7.16	<td>	---	<td>	6.44	<td>	0.02	<td>	6.46	<td>	0.185	<td>  91.224<td> 1.55
	90Zr	<td>	51.45	<td>	6.4	<td>	0	<td>	5.1	<td>	0	<td>	5.1	<td>	0.011	<td> 89.9047026<td> 1.55
	91Zr	<td>	11.32	<td>	8.7	<td>	-1.08	<td>	9.5	<td>	0.15	<td>	9.7	<td>	1.17	<td> 90.9056439<td> 1.55
	92Zr	<td>	17.19	<td>	7.4	<td>	0	<td>	6.9	<td>	0	<td>	6.9	<td>	0.22	<td> 91.9050386 <td> 1.55
	94Zr	<td>	17.28	<td>	8.2	<td>	0	<td>	8.4	<td>	0	<td>	8.4	<td>	0.0499	<td> 93.9063148 <td> 1.55
	96Zr	<td>	2.76	<td>	5.5	<td>	0	<td>	3.8	<td>	0	<td>	3.8	<td>	0.0229	<td> 95.908275 <td> 1.55
	Nb	<td>	100	<td>	7.054	<td>	-0.139	<td>	6.253	<td>	0.0024	<td>	6.255	<td>	1.15	<td> 92.9063772<td> 1.45
	Mo	<td>	---	<td>	6.715	<td>	---	<td>	5.67	<td>	0.04	<td>	5.71	<td>	2.48	<td> 95.96 <td> 1.45
	92Mo	<td>	14.84	<td>	6.91	<td>	0	<td>	6	<td>	0	<td>	6	<td>	0.019	<td> 91.906809<td> 1.45
	94Mo	<td>	9.25	<td>	6.80	<td>	0	<td>	5.81	<td>	0	<td>	5.81	<td>	0.015	<td> 93.9050853<td> 1.45
	95Mo	<td>	15.92	<td>	6.91	<td>	---	<td>	6	<td>	0.5	<td>	6.5	<td>	13.1	<td> 94.9058411<td> 1.45
	96Mo	<td>	16.68	<td>	6.20	<td>	0	<td>	4.83	<td>	0	<td>	4.83	<td>	0.5	<td> 95.9046785<td> 1.45
	97Mo	<td>	9.55	<td>	7.24	<td>	---	<td>	6.59	<td>	0.5	<td>	7.1	<td>	2.5	<td> 96.9060205<td> 1.45
	98Mo	<td>	24.13	<td>	6.58	<td>	0	<td>	5.44	<td>	0	<td>	5.44	<td>	0.127	<td> 97.9054073<td> 1.45
	100Mo	<td>	9.63	<td>	6.73	<td>	0	<td>	5.69	<td>	0	<td>	5.69	<td>	0.4	<td> 99.907477<td> 1.45
	Tc	<td>	---	<td>	6.8	<td>	---	<td>	5.8	<td>	0.5	<td>	6.3	<td>	20.(1.)	<td> 98.907<td> 1.35
        99Tc    <td>    100     <td>    6.8     <td>    ---     <td>    5.8     <td>    0.5     <td>    6.3     <td>    20.(1.) <td> 98.907<td> 1.35
	Ru	<td>	---	<td>	7.03	<td>	---	<td>	6.21	<td>	0.4	<td>	6.6	<td>	2.56	<td> 101.07<td> 1.3
	96Ru	<td>	5.5	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	0.28	<td> 95.907599 <td> 1.3
	98Ru	<td>	1.9	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	8.	<td> 97.905287<td> 1.3
	99Ru	<td>	12.7	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	6.9(1.0)	<td> 98.9059389<td> 1.3
	100Ru	<td>	12.6	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	4.8	<td> 99.9042192<td> 1.3
